site_code,start_date,end_date,status,location_type,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019,nlcd_code_2021,land_use_2021
Priest_dwn_B1,2013-01-10,2025-04-24,Sampled to study end,SRBP,33.43576689,-111.96029671,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Rio_mid_B2,2013-01-10,2025-04-24,Sampled to study end,SRBP,33.42176526,-112.07501513,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Tonto_up_B1,2013-01-21,2025-04-22,Sampled to study end,SRBP,33.5585114,-111.60882633,Woody wetlands,Woody wetlands,Woody wetlands,False,90,90,90,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands
DBG,2016-12-21,2025-04-24,Sampled to study end,desert_fertilization,33.45716,-111.94313,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
EMP,2018-01-06,2025-04-12,Sampled to study end,desert_fertilization,33.36277,-112.37363,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
PWP,2016-12-30,2025-04-04,Sampled to study end,desert_fertilization,33.56412,-112.01406,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
SMW,2017-01-04,2025-04-15,Sampled to study end,desert_fertilization,33.34228,-112.07801,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
SRR,2017-01-18,2025-04-22,Sampled to study end,desert_fertilization,33.54671,-111.57948,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
UMP,2017-01-18,2025-04-22,Sampled to study end,desert_fertilization,33.46646,-111.61554,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
WTM,2016-12-21,2025-04-03,Sampled to study end,desert_fertilization,33.60488,-112.49995,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
EE-15A,2000-11-14,2016-05-09,Retired early,riparian,33.3844927,-111.94664729,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
EE-6A,2000-10-18,2016-04-21,Retired early,riparian,33.61083702,-112.25106619,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
EE-7C,2000-10-07,2016-05-02,Retired early,riparian,33.60987126,-112.10832196,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
EN-4B,2000-11-16,2016-04-04,Retired early,riparian,33.73959387,-112.68089849,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
EN-7B,2000-11-10,2016-05-04,Retired early,riparian,33.81620287,-111.97260135,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
PE-10B,2000-10-30,2016-05-05,Retired early,riparian,33.38940105,-112.25664033,Woody wetlands,Woody wetlands,Woody wetlands,False,90,90,90,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands
PE-11A,2000-11-02,2016-05-12,Retired early,riparian,33.362931,-111.7351686,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
PE-13A,2000-10-07,2016-04-20,Retired early,riparian,33.59830306,-112.06876055,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
PE-1D,2000-11-01,2016-05-02,Retired early,riparian,33.43499182,-111.90406077,Open water,Open water,Open water,False,11,11,11,11,Open water,11,Open water,11,Open water,11,Open water,11,Open water,11,Open water
PN-1B,2000-11-02,2016-05-03,Retired early,riparian,33.54746413,-111.65684525,Open water,Open water,Open water,False,11,11,11,11,Open water,11,Open water,11,Open water,11,Open water,11,Open water,11,Open water
PN-2A,2001-05-05,2016-04-21,Retired early,riparian,33.63757429,-111.66807055,Woody wetlands,Woody wetlands,Woody wetlands,False,90,90,90,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands
PN-7A,2000-11-10,2016-05-04,Retired early,riparian,33.88142221,-111.95861145,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
